excluded_region,coefficient,std_error,p_value
Auvergne-RA,0.08504645255862177,0.017057528559245517,8.586246969360151e-7
Hauts-de-France,0.07814617320909152,0.01642058108706422,2.5369419582348384e-6
PACA,0.07519079194803459,0.016002752935244318,3.349932748690649e-6
Grand Est,0.0731911840800084,0.016163681389734282,7.403511094286263e-6
Occitanie,0.06576106867538879,0.016369891393320592,6.824556167660351e-5
Normandie,0.06523454199471393,0.016133109675308645,6.0519727729140974e-5
Nouvelle-Aquitaine,0.06811316927085781,0.01644921378945614,4.075196086606272e-5
Bretagne,0.07426666785520829,0.01583072691526709,3.453109421458854e-6
Centre-VdL,0.07050276204322832,0.016179683563442626,1.582593043367985e-5
Bourgogne-FC,0.07509943102846307,0.01585219454370705,2.7944880328431187e-6
Pays de la Loire,0.0768795077709172,0.0160371512653807,2.1274203930231883e-6
Ile-de-France,0.07039734616865537,0.0164168304095657,2.1490946573890623e-5
DOM-TOM,0.0713060717213855,0.015897823102474416,8.924433721365907e-6
Corse,0.07118577518952098,0.015380989030250114,4.606494991565174e-6
