Variable,Period,Mean,SD,Min,Max,N
Care homes (stock),Pre-NLW (2012-2015),98.11,100.49,11,660,536
Closures,Pre-NLW (2012-2015),7.46,8.05,0,63,536
New registrations,Pre-NLW (2012-2015),5.67,6.42,0,55,536
Net change,Pre-NLW (2012-2015),-1.8,3.59,-29,11,536
Total beds,Pre-NLW (2012-2015),2641.07,2642.82,352,15635,536
Closure rate (\%),Pre-NLW (2012-2015),7.45,4.82,0,33.33,536
Entry rate (\%),Pre-NLW (2012-2015),5.34,3.72,0,28.57,536
NLW Kaitz index (bite),Pre-NLW (2012-2015),0.62,0.09,0.33,0.78,536
Care homes (stock),Post-NLW (2016-2019),90.41,93.23,10,587,536
Closures,Post-NLW (2016-2019),6.85,7.95,0,95,536
New registrations,Post-NLW (2016-2019),4.98,5.78,0,54,536
Net change,Post-NLW (2016-2019),-1.87,3.78,-41,6,536
Total beds,Post-NLW (2016-2019),2589.5,2636.32,320,14671,536
Closure rate (\%),Post-NLW (2016-2019),7.15,4.43,0,27.59,536
Entry rate (\%),Post-NLW (2016-2019),5.1,3.55,0,20,536
NLW Kaitz index (bite),Post-NLW (2016-2019),0.62,0.09,0.33,0.78,536
