variable,mean_val,sd_val,min_val,max_val
BH Providers,215.054263565891,222.643293082262,12,1019
SUD Providers,39.7015503875969,48.6217841756103,0,221
MAT Providers,1.55426356589147,3.18174529968265,0,18
BH Claims,249761.53875969,403411.368060944,4237,2380361
SUD Claims,79040.6395348837,161517.399403061,0,965963
BH Beneficiaries,47172.8372093023,86740.7646366776,622,545798
SUD Beneficiaries,7429.44186046512,12765.424189804,0,56945
Personal Care Providers,254.236434108527,323.314068179773,5,1509
Total Providers,455.941860465116,458.677578610793,18,2134
BH Paid ($),24107473.4523643,49020941.4331624,270970.24,336754090.84
SUD Paid ($),3482721.19360465,6199529.47731655,0,33466751.06
