test,coef,se,pval,stars,coef_display,se_display
Placebo (volume),-0.146190333556082,0.00618602835707144,1.79319358206019e-123,***,-0.1462***,(0.0062)
Placebo (price),-0.0401480046619113,0.00521121121809858,1.31706816767419e-14,***,-0.0401***,(0.0052)
No 2020 (volume),-0.0344541510104138,0.00567586920594927,1.27682427455656e-09,***,-0.0345***,(0.0057)
No 2020 (price),0.0195766880852552,0.00534884871832589,0.000252233323912254,***,0.0196***,(0.0053)
Zone tendue (volume),-0.0977271169372392,0.0127969976509425,2.22821432186255e-14,***,-0.0977***,(0.0128)
Zone touristique (volume),-0.0256834269129948,0.00608862953172081,2.46194027090317e-05,***,-0.0257***,(0.0061)
Zone tendue (price),-0.0192258416465939,0.0101053930966081,0.0571015372835396,*,-0.0192*,(0.0101)
Zone touristique (price),0.0329678000927663,0.00579140704986988,1.25165313905771e-08,***,0.0330***,(0.0058)
Alt timing decree (volume),-0.0356999418056329,0.0054262763637529,4.733472136036e-11,***,-0.0357***,(0.0054)
Alt timing decree (price),0.0315183936126935,0.00478784432720494,4.61039809278273e-11,***,0.0315***,(0.0048)
Dept cluster (volume),-0.0341116150086281,0.02147252690912,0.112146953766466,"",-0.0341,(0.0215)
Dept cluster (price),0.0250477744126678,0.00690366835589754,0.000285422566167617,***,0.0250***,(0.0069)
