check,estimate,se,p_value,n_obs,ci_lower,ci_upper,stars
Placebo: unaffected borders,-0.0562145921803007,0.0146807608696338,0.000145527422077822,11729,-0.0849888834847829,-0.0274403008758184,***
Placebo timing: 2010,-0.0213002235164589,0.0071781612957591,0.0031199817446436,9256,-0.0353694196561468,-0.00723102737677108,***
Placebo timing: 2012,-0.0229070267682221,0.00720102080899873,0.00154088993297053,9256,-0.0370210275538596,-0.00879302598258462,***
Control: border regions only,0.0224481319900199,0.0159767612795509,0.161665744881233,4582,-0.00886632011789997,0.0537625840979397,""
Control: interior regions only,-0.0335314708579092,0.0101866143202595,0.0010581474330783,13687,-0.0534972349256178,-0.0135657067902006,***
Country × year FE,0.000425280378301374,0.00681790729604339,0.950282837895701,14999,-0.0129378179219437,0.0137883786785464,""
Pre-COVID (through 2019),-0.0234258022627362,0.00899509807164373,0.0094283220674455,12346,-0.0410561944831579,-0.00579541004231445,***
Randomization inference,-0.0274316599223691,,0.002,14999,,,***
Segment-level RI,-0.0274316599223691,,0.67,14999,,,""
Placebo borders + C×Y FE,-0.0537286778871671,0.0124910941951465,2.05525103451869e-05,11729,-0.0782112225096541,-0.02924613326468,***
Placebo 2010 + C×Y FE,-0.00753873672241062,0.00637512272230547,0.237453270973532,9256,-0.0200339772581293,0.0049565038133081,""
Border only + C×Y FE,0.0567484343802432,0.013578824119967,4.48748919223841e-05,4582,0.0301339391051078,0.0833629296553785,***
