Variable,Value
"Total UK income taxpayers (millions, 2022/23)","34,500"
"P80 total income, 2012 (pre-HICBC)","36,700"
"P80 total income, 2022 (post-HICBC)","47,900"
"P85 total income, 2012","41,800"
"P85 total income, 2022","53,700"
HICBC threshold (2013–2024),"£50,000"
HICBC threshold (2024–present),"£60,000"
"Individuals liable for HICBC (thousands, 2022/23)",440
"HICBC revenue (£ millions, 2022/23)",£525
"Families opted out of CB (thousands, 2024)",712
"CB take-up rate, 2012 (%)",97
"CB take-up rate, 2022 (%)",88
